"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","572","shouldFilterItemsAndReturnMonitors()","","Sat Mar 29 11:50:12 CET 2025","passed","Sat Mar 29 11:50:13 CET 2025","","selenide.tests.MainPageTests","selenide.tests.MainPageTests","shouldFilterItemsAndReturnMonitors"
"","1044","errorAfterRegWithExistedCreds()","","Sat Mar 29 11:50:24 CET 2025","passed","Sat Mar 29 11:50:25 CET 2025","","selenide.tests.RegistrationTests","selenide.tests.RegistrationTests","errorAfterRegWithExistedCreds"
"","794","shouldFilterItemsAndReturnMonitors()","","Sat Mar 29 11:09:10 CET 2025","passed","Sat Mar 29 11:09:11 CET 2025","","selenide.TestSuite","selenide.TestSuite","shouldFilterItemsAndReturnMonitors"
"","991","errorAfterLoginEmptyCreds()","","Sat Mar 29 11:50:19 CET 2025","passed","Sat Mar 29 11:50:20 CET 2025","","selenide.tests.LoginTests","selenide.tests.LoginTests","errorAfterLoginEmptyCreds"
"","1794","errorAfterLoginInvalidCreds()","","Sat Mar 29 11:50:16 CET 2025","passed","Sat Mar 29 11:50:18 CET 2025","","selenide.tests.LoginTests","selenide.tests.LoginTests","errorAfterLoginInvalidCreds"
"","1207","errorAfterRegWithExistedCreds()","","Sat Mar 29 11:09:09 CET 2025","passed","Sat Mar 29 11:09:10 CET 2025","","selenide.TestSuite","selenide.TestSuite","errorAfterRegWithExistedCreds"
"","768","errorAfterRegWithEmptyCreds()","","Sat Mar 29 11:50:24 CET 2025","passed","Sat Mar 29 11:50:24 CET 2025","","selenide.tests.RegistrationTests","selenide.tests.RegistrationTests","errorAfterRegWithEmptyCreds"
"","994","errorAfterLoginEmptyCreds()","","Sat Mar 29 11:09:11 CET 2025","passed","Sat Mar 29 11:09:12 CET 2025","","selenide.TestSuite","selenide.TestSuite","errorAfterLoginEmptyCreds"
"","813","shouldFilterItemsAndReturnLaptops()","","Sat Mar 29 11:09:00 CET 2025","passed","Sat Mar 29 11:09:01 CET 2025","","selenide.TestSuite","selenide.TestSuite","shouldFilterItemsAndReturnLaptops"
"","576","shouldFilterItemsAndReturnPhones()","","Sat Mar 29 11:09:05 CET 2025","passed","Sat Mar 29 11:09:05 CET 2025","","selenide.TestSuite","selenide.TestSuite","shouldFilterItemsAndReturnPhones"
"","967","errorAfterRegWithEmptyCreds()","","Sat Mar 29 11:09:08 CET 2025","passed","Sat Mar 29 11:09:09 CET 2025","","selenide.TestSuite","selenide.TestSuite","errorAfterRegWithEmptyCreds"
"","3725","shouldFilterItemsAndReturnLaptops()","","Sat Mar 29 11:50:08 CET 2025","passed","Sat Mar 29 11:50:12 CET 2025","","selenide.tests.MainPageTests","selenide.tests.MainPageTests","shouldFilterItemsAndReturnLaptops"
"","2730","shouldAddItemToCart()","","Sat Mar 29 11:09:05 CET 2025","passed","Sat Mar 29 11:09:08 CET 2025","","selenide.TestSuite","selenide.TestSuite","shouldAddItemToCart"
"","2876","shouldAddItemToCart()","","Sat Mar 29 11:50:13 CET 2025","passed","Sat Mar 29 11:50:16 CET 2025","","selenide.tests.CartTests","selenide.tests.CartTests","shouldAddItemToCart"
"","3976","successfulLogin()","","Sat Mar 29 11:29:38 CET 2025","passed","Sat Mar 29 11:29:42 CET 2025","","selenide.LoginTests","selenide.LoginTests","successfulLogin"
"","4708","errorAfterLoginInvalidCreds()","","Sat Mar 29 11:08:56 CET 2025","passed","Sat Mar 29 11:09:00 CET 2025","","selenide.TestSuite","selenide.TestSuite","errorAfterLoginInvalidCreds"
"","589","shouldFilterItemsAndReturnPhones()","","Sat Mar 29 11:50:12 CET 2025","passed","Sat Mar 29 11:50:12 CET 2025","","selenide.tests.MainPageTests","selenide.tests.MainPageTests","shouldFilterItemsAndReturnPhones"
"","4083","shouldRegisterClientAndAuthoriseHim()","","Sat Mar 29 11:50:20 CET 2025","passed","Sat Mar 29 11:50:24 CET 2025","","selenide.tests.RegistrationTests","selenide.tests.RegistrationTests","shouldRegisterClientAndAuthoriseHim"
"","1052","successfulLogin()","","Sat Mar 29 11:50:18 CET 2025","passed","Sat Mar 29 11:50:19 CET 2025","","selenide.tests.LoginTests","selenide.tests.LoginTests","successfulLogin"
"","3560","shouldRegisterClientAndAuthoriseHim()","","Sat Mar 29 11:09:01 CET 2025","passed","Sat Mar 29 11:09:05 CET 2025","","selenide.TestSuite","selenide.TestSuite","shouldRegisterClientAndAuthoriseHim"
